penonton,januari,februari,maret,april,mei,juni,juli,agustus,september,oktober,november,desember
male,136.883,201.620,202.945,198.927,209.735,213.591,289.628,299.797,336.405,395.906,387.237,398.519
female,116.277,186.860,183.664,185.906,193.123,222.051,270.517,301.309,346.007,433.951,409.423,394.321
upper,80.161,106.856,99.255,119.817,117.873,89.706,98.572,77.840,111.196,125.290,112.211,83.772
middle,154.721,241.005,253.251,239.912,261.992,302.208,340.415,337.024,367.667,443.471,473.872,457.181
lower,18.277,40.619,34.103,25.104,22.993,43.729,121.157,186.242,203.549,261.096,210.578,251.887
5-14,21.451,34.824,33.380,36.992,40.702,45.511,49.586,44.902,51.266,58.613,60.268,64.880
15-29,48.319,58.868,63.155,59.928,77.983,80.830,82.316,90.548,113.409,128.907,117.552,121.422
30-49,74.169,110.724,112.118,110.497,119.864,125.513,145.458,165.859,177.050,241.620,233.549,229.413
50+,109.221,184.063,177.957,177.416,164.309,183.789,282.785,299.797,340.687,400.717,385.292,377.125
student,27.862,41.483,38.058,49.466,46.653,50.962,59.146,60.279,66.897,80.336,74.280,79.633
housewife,39.524,65.808,68.834,73.249,77.476,91.184,126.408,132.654,156.117,194.095,176.719,191.044
blue_collar,100.172,135.886,139.443,119.69,135.504,133.477,176.023,197.736,219.642,285.336,273.929,279.164
white_collar,6.602,12.001,12.336,16.067,12.536,13.599,25.420,22.156,37.439,33.398,32.266,25.729
entrepreneur,44.978,73.664,67.587,65.417,74.280,83.367,101.419,105.970,107.420,128.378,123.814,123.876
other,34.023,59.637,60.351,60.945,56.409,63.054,71.729,82.311,94.897,108.314,115.652,93.394
university,21.625,20.936,17.070,19.476,17.366,15.929,28.532,31.114,49.791,34.231,30.941,29.892
academy,4.112,7.812,6.499,7.705,5.067,5.846,5.880,5.175,8.819,7.574,8.345,3.868
high_school,111.704,156.539,162.784,144.940,170.594,168.137,188.943,200.261,237.914,289.062,279.834,247.271
secondary,40.084,68.411,71.146,74.947,78.085,90.377,102.697,98.746,116.199,140.844,134.971,134.918
elementary_&_elementary_not_fin,69.220,121.663,113.950,122.175,116.327,133.496,212.392,244.732,248.641,327.957,308.882,353.289
not_formal,6.415,13.118,15.161,15.591,15.420,21.857,21.702,21.078,21.047,30.187,33.686,23.603
